name,calories,protein,carbs,fat,category
Hot tea (Garam Chai),16.14,0.39,2.58,0.53,General
Instant coffee,23.16,0.64,3.65,0.75,General
Espreso coffee,51.54,1.75,6.62,2.14,General
Iced tea,10.34,0.03,2.7,0.01,General
Raw mango drink (Aam panna),35.92,0.16,9.05,0.03,General
Fruit Punch (with fresh juices),36.12,0.14,9.38,0.03,General
Fruit Punch (with squashes),23.13,0.07,5.99,0.02,General
Lemonade,20.8,0.03,5.48,0.01,General
Lem-o-gin,21.52,0.08,5.55,0.03,General
Cumin infused water (Jeere/Zeere ka pani),9.09,0.17,1.86,0.11,General
Coco pine cooler,32.75,0.56,5.72,1.0,General
Summer cooler,22.43,0.37,5.43,0.04,General
Hot cocoa,90.1,3.36,9.23,4.56,General
Cold coffee with ice cream,67.85,1.57,11.24,2.11,General
Banana milkshake (Kele milkshake),65.31,1.84,9.15,2.37,General
Mango milkshake (Aam milkshake),56.9,1.73,7.23,2.35,General
Pineapple milkshake (Ananas milkshake),55.72,1.66,7.62,2.23,General
Orange milkshake (Narangi milkshake),57.42,1.86,7.11,2.52,General
Egg nog,97.14,4.78,8.15,5.11,General
Sweet Lassi (Meethi lassi),35.66,1.29,6.51,0.68,General
Lassi (salted),18.84,1.35,1.86,0.72,General
Cheese and chilli sandwich ,218.11,6.8,27.4,9.78,General
Egg sandwich (Ande ka sandwich),285.96,8.69,29.16,15.8,General
Cucumber sandwich (Kheere ka sandwich),188.6,4.8,25.77,8.0,General
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,8.2,29.1,12.8,General
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,7.92,26.92,12.27,General
Chicken sandwich,253.27,13.12,25.38,11.75,General
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,9.53,28.54,16.14,General
Rainbow sandwich,272.75,7.75,34.26,12.54,General
Club sandwich ,235.32,7.31,18.51,15.12,General
Vegetarian club sandwich,198.33,5.45,19.68,11.33,General
Pin wheel sandwich,311.52,8.77,14.0,24.93,General
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,5.3,29.04,9.12,General
Salami sandwich,255.59,8.7,21.54,15.51,General
Vegetable and mayonnaise sandwich,244.26,4.47,23.2,15.4,General
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,7.66,25.9,10.51,General
Sweet open sandwich,244.25,4.99,39.24,8.15,General
Mushroom and cheese sandwich (toasted),227.42,7.79,21.01,13.01,General
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,6.82,21.42,12.95,General
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,4.6,25.17,5.43,General
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,12.4,24.05,11.98,General
Chicken sandwich (toasted),167.37,12.08,18.82,5.32,General
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,11.06,20.26,5.61,General
Classic club sandwich,200.83,6.74,18.49,11.56,General
Sesame toast,495.19,1.9,11.15,49.38,General
Cracked wheat porridge (Meetha daliya),81.57,2.64,8.87,4.08,General
Semolina porridge (Suji/Rava daliya),100.89,3.75,12.39,4.08,General
Oatmeal Porridge,72.85,2.6,8.77,3.22,General
Cornflakes with milk,117.33,3.59,14.95,5.12,General
Rice flakes (Chiwda/Aval),112.44,3.62,15.57,3.99,General
Wheat flakes,112.44,3.62,15.57,3.99,General
Murmura (Puffed rice),113.32,3.62,15.67,4.04,General
Puffed wheat (Murmure/Moori),113.32,3.62,15.67,4.04,General
